,k,Holdout_error
0,5,967.5047265580387
1,10,745.3411771795867
2,15,790.5742575829696
3,20,828.9252620058603
4,25,806.4124988293788
5,30,840.7629921721996
6,35,847.0367679293375
7,40,848.1462854150609
8,45,846.6125892859955
9,50,847.6971951692055
