,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14,beta15,beta16,beta17,beta18,beta19,beta20,beta21,beta22,beta23,beta24,beta25,beta26,beta27,beta28,beta29,beta30,beta31,beta32,beta33,beta34,beta35,beta36,beta37,beta38,beta39,beta40,beta41,beta42,beta43,beta44,beta45,beta46,beta47,beta48,beta49,beta50,K,cross_val,train_error,validation_error
0,0.02174762974812548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.473294663934664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.663148065305948,0.0,0.0,-1.6297529166848828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.937659236018446,0.0,0.9276321163126379,0.0,0.0,0.0,5,0,3.7044289526879117,1.554683378345584
1,0.02107127479469193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.43801950672424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.733295402868456,0.0,0.0,-1.7183618973312729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.908339337205224,0.0,0.848534889618965,0.0,0.0,0.0,5,1,3.6455419232727015,2.0618218165443882
2,0.02018818560794634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.399737283385449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.677728657485109,0.0,0.0,-1.6360189424394909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875831014561869,0.0,0.8493690704715833,0.0,0.0,0.0,5,2,3.3907500390244523,4.344182908963783
3,0.020880775384172604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4531609932488143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7682531294633994,0.0,0.0,-1.6961410425480261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0064102232116485,0.0,0.9570699153797988,0.0,0.0,0.0,5,3,3.385170050297699,4.551452410267119
4,0.02124928556252688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4188769892529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.722142616448873,0.0,0.0,-1.7415675878670456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8929972919372393,0.0,0.8866273639074354,0.0,0.0,0.0,5,4,3.492374239329357,3.4386400384766684
5,0.020971578945329063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4288381024013574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7560447044729603,0.0,0.0,-1.6661730618124884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9436753042311017,0.0,0.8582238948170785,0.0,0.0,0.0,5,5,3.3489466275627295,4.736394573490361
6,0.02024734654501547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.432996027883478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7100333197638327,0.0,0.0,-1.6671209092686508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9312418736463357,0.0,0.8016613469634598,0.0,0.0,0.0,5,6,3.5565258427919537,2.897137788860231
7,0.021779805320613264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.490419066314313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7027366482787325,0.0,0.0,-1.6262051218352704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8541832750248795,0.0,0.9258876716499397,0.0,0.0,0.0,5,7,3.3542695103663696,4.769152823927311
8,0.021362587242564082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4074221990447664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.749294013788029,0.0,0.0,-1.7175040261538397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9107331003953831,0.0,0.8496012457988781,0.0,0.0,0.0,5,8,3.3334585301224435,4.8843555064282835
9,0.020418618944711982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.402081201653891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5844818755735879,0.0,0.0,-1.6360734984211898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8390323030228144,0.0,0.8194398765648303,0.0,0.0,0.0,5,9,3.3368383429947164,4.921127257533307
